28.0	-22.800001	-79.400001
28.300001	-21.899999	-77.700004
27.800001	-23.0	-77.599998
27.7	-22.6	-78.5
26.2	-21.5	-77.300003
27.7	-22.5	-77.900001
28.1	-21.5	-77.700004
26.899999	-21.5	-78.0
27.800001	-22.1	-78.5
27.7	-21.7	-78.300003
27.300001	-21.399999	-78.5
26.0	-21.7	-77.800003
26.7	-21.6	-79.599998
28.399999	-22.6	-79.700004
27.800001	-21.899999	-77.900001
27.0	-23.2	-76.400001
27.1	-22.1	-78.599998
27.399999	-22.399999	-78.800003
27.300001	-21.800001	-77.400001
26.7	-22.2	-77.900001
27.399999	-21.300001	-77.200004
27.2	-22.1	-78.200004
28.0	-21.399999	-79.300003
27.899999	-21.800001	-77.400001
38.100002	-35.600002	-76.599998
37.7	-32.600002	-75.0
39.5	-30.300001	-75.099998
39.900001	-29.800001	-74.800003
38.5	-31.0	-75.0
39.2	-32.400001	-75.700004
36.400001	-31.6	-75.0
36.2	-32.7	-76.099998
33.299999	-33.299999	-77.099998
21.5	-33.5	-76.0
12.100001	-36.2	-72.900001
6.4	-38.5	-71.200004
1.6	-40.600002	-69.5
-2.3	-38.799999	-67.0
-7.1	-39.299999	-63.400001
-12.600001	-37.900001	-56.600002
-19.1	-41.0	-47.100002
-24.7	-42.2	-31.800001
-24.300001	-43.5	-16.300001
-21.2	-42.400001	-6.5
-13.100001	-41.100002	4.8
-4.3	-41.2	14.400001
3.0	-41.400001	16.899999
10.300001	-38.600002	21.300001
10.800001	-37.100002	21.7
-0.9	-37.2	16.0
-13.900001	-36.900001	3.4
-22.6	-38.400001	-13.100001
-22.399999	-41.900001	-38.600002
-15.300001	-42.299999	-55.900001
-1.9	-39.900001	-68.5
16.899999	-36.0	-75.200004
36.600002	-32.900001	-76.099998
44.400001	-32.900001	-75.099998
59.0	-32.5	-70.5
69.099998	-32.100002	-62.2
77.5	-34.2	-48.5
82.599998	-34.100002	-31.899999
79.800003	-32.2	-10.400001
65.400001	-31.800001	8.400001
46.799999	-34.5	18.899999
29.399999	-37.799999	22.899999
13.800001	-40.0	21.800001
3.0	-42.600002	17.5
-0.6	-42.400001	16.399999
13.7	-35.900001	21.2
32.900001	-32.400001	22.0
59.7	-31.2	11.600001
77.099998	-31.2	-6.3
82.300003	-31.399999	-28.7
75.900001	-36.2	-51.799999
67.5	-35.900001	-63.299999
55.600002	-32.600002	-71.900001
50.0	-22.899999	-71.900001
50.600002	-15.100001	-66.800003
48.100002	-5.8	-63.600002
47.5	-1.4	-58.299999
46.2	2.3	-54.799999
47.2	4.4	-53.7
48.299999	3.4	-52.5
47.799999	5.2	-52.7
45.799999	7.2	-51.0
44.7	10.2	-44.2
45.900001	12.7	-28.5
44.7	7.2	-5.8
41.5	-7.3	12.100001
41.600002	-27.5	21.0
42.400001	-43.600002	21.2
47.0	-55.799999	20.300001
47.400001	-64.300003	15.5
48.2	-68.099998	12.7
49.0	-75.400001	8.400001
50.299999	-81.200004	-0.8
48.0	-76.099998	7.3
43.799999	-50.400001	21.2
35.7	-4.1	8.600001
30.899999	10.7	-9.5
26.399999	13.400001	-32.7
24.6	10.5	-47.299999
22.7	6.2	-52.7
21.399999	4.9	-54.900001
21.1	2.8	-58.900001
17.300001	-1.1	-61.900001
15.100001	-9.5	-67.800003
17.2	-22.7	-74.400001
22.2	-47.2	-75.5
26.899999	-73.300003	-66.099998
34.7	-87.800003	-49.100002
41.600002	-91.099998	-33.7
46.600002	-89.5	-24.6
53.7	-85.800003	-15.100001
57.2	-81.700004	-8.0
58.7	-74.099998	0.4
59.5	-67.5	7.4
59.7	-58.600002	12.300001
61.2	-55.299999	12.2
59.400001	-57.2	11.400001
51.299999	-73.800003	6.8
42.799999	-88.800003	-12.0
41.7	-89.800003	-37.100002
45.2	-81.800003	-53.400001
44.600002	-71.400001	-64.400001
37.900001	-60.400001	-72.400001
29.800001	-45.7	-76.700004
18.899999	-41.600002	-76.200004
8.600001	-38.400001	-73.800003
-2.1	-30.800001	-66.900001
-8.900001	-25.1	-57.400001
-14.100001	-19.1	-48.400001
-15.800001	-13.5	-38.100002
-15.900001	-14.2	-26.399999
-15.800001	-13.800001	-18.300001
-17.899999	-16.0	-17.800001
-15.900001	-13.2	-21.1
-14.600001	-11.900001	-20.6
-15.100001	-13.400001	-19.800001
-13.600001	-12.2	-14.300001
-12.400001	-13.5	-9.600001
-12.2	-16.7	-5.5
-12.2	-26.800001	2.3
-13.400001	-36.2	5.1
-14.2	-44.299999	4.3
-12.900001	-51.0	6.1
-13.2	-56.799999	4.0
-14.300001	-59.400001	0.0
-15.600001	-61.5	-3.3
-18.0	-66.800003	-10.5
-16.1	-72.300003	-30.5
-14.2	-63.0	-50.7
-12.7	-46.400001	-58.5
-13.800001	-37.7	-56.5
-15.300001	-41.299999	-56.7
-13.900001	-64.099998	-49.5
-12.100001	-78.400001	-32.400001
-11.0	-76.800003	-11.100001
-10.300001	-57.400001	9.0
-3.4	-28.2	11.7
-1.1	-8.2	1.4
6.5	3.9	-9.100001
19.300001	11.900001	-18.0
31.7	13.900001	-35.2
38.0	9.800001	-44.799999
43.0	5.2	-52.900001
49.400001	-0.8	-57.600002
52.600002	-1.9	-59.299999
56.7	-7.5	-61.7
57.799999	-14.600001	-61.799999
60.5	-20.800001	-64.700004
62.0	-29.1	-67.5
64.099998	-38.600002	-65.099998
65.800003	-47.900001	-63.2
64.900001	-54.900001	-60.400001
65.300003	-60.2	-58.799999
66.5	-65.5	-51.100002
69.0	-66.800003	-48.299999
